conversation_id,created_at,date,place,tweet,language,hashtags,cashtags,username,nlikes,nreplies,nretweets,reply_to,clean_tweet,lemma_tweet
1320883858636787718,1603758227000.0,2020-10-26 21:23:47,,"Hoy se nos fue una compañera contagiada de covid hacia Santiago. Luchamos, luchamos y luchamos por ella y no saben lo frustrante que es, el que solo nos quede reunirnos alrededor de esta vela y mandarle nuestras mejores energías y fuerzas.  Vas a volver sana y salva Marce! 💕🙌🏻  https://t.co/C48r3OrOkn",es,[],[],ccaattittaa,4,1,0,"{'user_id': None, 'username': None}","['hoy', 'compañera', 'contagiada', 'covid', 'hacia', 'santiago', 'luchamos', 'luchamos', 'luchamos', 'saben', 'frustrante', 'solo', 'quede', 'reunirnos', 'alrededor', 'vela', 'mandarle', 'mejores', 'energías', 'fuerzas', 'vas', 'volver', 'sana', 'salva', 'marce']","['hoy', 'compañera', 'contagiado', 'covir', 'hacia', 'santiago', 'luchar', 'luchar', 'luchar', 'saben', 'frustrante', 'solo', 'quedar', 'reunirnos', 'alrededor', 'vela', 'mandarle', 'mejores', 'energía', 'fuerza', 'vas', 'volver', 'sana', 'salva', 'marcir']"
1320562390552006657,1603681583000.0,2020-10-26 00:06:23,,Y mañana se van a llenar la boca con el “Covid -19” y hay como 50 viejos en una sala diminuta.,es,[],[],ccaattittaa,1,0,0,"{'user_id': None, 'username': None}","['mañana', 'van', 'llenar', 'boca', 'covid', '19', '50', 'viejos', 'sala', 'diminuta']","['mañana', 'van', 'llenar', 'boca', 'covir', '19', '50', 'viejo', 'sala', 'diminuta']"
1319832950213574656,1603507671000.0,2020-10-23 23:47:51,,"Video. Hoy viernes al mediodía se realizó la novena aeroevacuación desde el Hospital Augusto Essmann hacia la región metropolitana, en este caso de una paciente Covid-19 en estado grave, de 68 años de edad. #Natales  https://t.co/xEMe3ZcW4g  https://t.co/KUWjfpFDKo",es,['natales'],[],tirapiedras2020,0,0,0,"{'user_id': None, 'username': None}","['video', 'hoy', 'viernes', 'mediodía', 'realizó', 'novena', 'aeroevacuación', 'hospital', 'augusto', 'essmann', 'hacia', 'región', 'metropolitana', 'caso', 'paciente', 'covid', '19', 'grave', '68', 'años', 'edad', 'natales']","['video', 'hoy', 'viernes', 'mediodía', 'realizar', 'noveno', 'aeroevacuación', 'hospital', 'augusto', 'essmann', 'hacia', 'región', 'metropolitana', 'caso', 'paciente', 'covir', '19', 'grave', '68', 'año', 'edad', 'natal']"
1314949405057994752,1602343343000.0,2020-10-10 12:22:23,,Hermosa iniciativa. Ayudemos a nuestros Magallanicos trasladados a Stgo. por Covid-19  #natales #puq #magallanes #chile  https://t.co/FF5d3XouYc,es,"['natales', 'puq', 'magallanes', 'chile']",[],Yomiz,7,0,2,"{'user_id': None, 'username': None}","['hermosa', 'iniciativa', 'ayudemos', 'magallanicos', 'trasladados', 'stgo', 'covid', '19', 'natales', 'puq', 'magallanes', 'chile']","['hermoso', 'iniciativa', 'ayudar', 'magallanicos', 'trasladados', 'stgo', 'covir', '19', 'natal', 'puq', 'magallanes', 'chile']"
1313789908436295680,1602085557000.0,2020-10-07 12:45:57,,"@rafa_cavada @sonarfm @pabloaranzaes Sería maravilloso si pudieran informar en “Chile” , lo que sucede en Magallanes , tema aparte el covid pero todo al final unido por un hilo salmón 🤬",es,[],[],AcueOficial,0,0,0,"{'user_id': '310504796', 'username': 'rafa_cavada'}","['_cavada', 'maravilloso', 'si', 'pudieran', 'informar', 'chile', 'sucede', 'magallanes', 'tema', 'aparte', 'covid', 'final', 'unido', 'hilo', 'salmón']","['_', 'maravilloso', 'si', 'pudieran', 'informar', 'chile', 'suceder', 'magallanes', 'tema', 'aparte', 'covir', 'final', 'unido', 'hilo', 'salmón']"
1313502475199090690,1601998368000.0,2020-10-06 12:32:48,,"Estamos en una situación muy grave!! Hoy nuevo récord de casos positivos a coronavirus en #Magallanes , las medidas no sirven! #PuntaArenas #PuertoNatales  https://t.co/AUbxsEaPGQ",es,"['magallanes', 'puntaarenas', 'puertonatales']",[],LissetteOjedaG,0,0,0,"{'user_id': None, 'username': None}","['situación', 'grave', 'hoy', 'nuevo', 'récord', 'casos', 'positivos', 'coronavirus', 'magallanes', 'medidas', 'sirven', 'puntaarenas', 'puertonatales']","['situación', 'grave', 'hoy', 'nuevo', 'récord', 'caso', 'positivo', 'coronavirus', 'magallanes', 'medido', 'sirven', 'puntaarenas', 'puertonatales']"
1311124708885254145,1601462249000.0,2020-09-30 07:37:29,,"@bacigalupe @PolarBearby @pinabertoglia Acá la mega industria Salmonera jamás se detuvo, fueron los constantes cambios de turno lo que ocasionó este ir y venir del Virus,convirtiéndolo finalmente en comunitario, hoy los pontones están la mayoría con covid, quien controla eso ??? 🤬😡@MMAChile @sernapesca @Armada_Chile",es,[],[],AcueOficial,3,0,2,"{'user_id': '12808192', 'username': 'bacigalupe'}","['acá', 'mega', 'industria', 'salmonera', 'jamás', 'detuvo', 'constantes', 'cambios', 'turno', 'ocasionó', 'ir', 'venir', 'virus', 'convirtiéndolo', 'finalmente', 'comunitario', 'hoy', 'pontones', 'mayoría', 'covid', 'controla', '_chile']","['acá', 'mega', 'industria', 'salmonera', 'jamás', 'detener', 'constante', 'cambio', 'turno', 'ocasionar', 'ir', 'venir', 'virus', 'convirtiéndolo', 'finalmente', 'comunitario', 'hoy', 'pontón', 'mayoría', 'covir', 'controlar', '_']"
1311055305485291520,1601414917000.0,2020-09-29 18:28:37,,Hoy tuvimos nuestro primer fallecido por Covid. Hoy tuvimos que pronar a otro pcte. Hoy el covid nos está ganando una batalla pero no nos va a ganar la guerra. Lo decreto.,es,[],[],ccaattittaa,1,2,0,"{'user_id': None, 'username': None}","['hoy', 'primer', 'fallecido', 'covid', 'hoy', 'pronar', 'pcte', 'hoy', 'covid', 'ganando', 'batalla', 'va', 'ganar', 'guerra', 'decreto']","['hoy', 'primer', 'fallecido', 'covir', 'hoy', 'pronar', 'pcte', 'hoy', 'covir', 'ganar', 'batalla', 'ir', 'ganar', 'guerra', 'decreto']"
1303900058241425408,1599708973000.0,2020-09-10 00:36:13,, https://t.co/V8af06MKW9   Ahora entiendo porque tapan los contagios en las plantas donde lo procesan ..... no les van a comorar salmones con covid !!! Jajaj @AguanteNatales @alexmunozw @LeticiaCaro6,es,[],[],AcueOficial,1,0,1,"{'user_id': None, 'username': None}","['ahora', 'entiendo', 'tapan', 'contagios', 'plantas', 'procesan', 'van', 'comorar', 'salmones', 'covid', 'jajaj']","['ahora', 'entender', 'tapan', 'contagio', 'planta', 'procesan', 'van', 'comorar', 'salmón', 'covir', 'jajaj']"
1303812837681307656,1599688348000.0,2020-09-09 18:52:28,,"No soporto el doble estándar por rrss, el pedir permisos qlaos para ""celebrar el 18"", el que sale sin importar la cuarentena..el que cree que es chistoso decir ""ay! Salí y quizás tenga covid"" NO ES CHISTE.",es,[],[],fvsherrera_,1,0,0,"{'user_id': '68799538', 'username': 'fvsherrera_'}","['soporto', 'doble', 'estándar', 'rrss', 'pedir', 'permisos', 'qlaos', 'celebrar', '18', 'sale', 'importar', 'cuarentena', 'cree', 'chistoso', 'decir', 'ay', 'salí', 'quizás', 'covid', 'chiste']","['soporto', 'doble', 'estándar', 'rrss', 'pedir', 'permiso', 'qlaos', 'celebrar', '18', 'salir', 'importar', 'cuarentena', 'creer', 'chistoso', 'decir', 'ay', 'salir', 'quizás', 'covir', 'chiste']"
1302310070437531650,1599329891000.0,2020-09-05 14:18:11,,"Fuera de toda broma. Encuentro que una solución para el tema COVID en la región sería la ley seca estricta. No nos hagamos los weones que el carrete ha seguido igual, solo que en casa.",es,[],[],Yomiz,1,0,0,"{'user_id': None, 'username': None}","['toda', 'broma', 'encuentro', 'solución', 'tema', 'covid', 'región', 'ley', 'seca', 'estricta', 'hagamos', 'weones', 'carrete', 'seguido', 'igual', 'solo', 'casa']","['todo', 'broma', 'encuentro', 'solución', 'tema', 'covir', 'región', 'ley', 'seco', 'estricta', 'hacer', 'weones', 'carrete', 'seguido', 'igual', 'solo', 'casa']"
1300496075334193152,1598897401000.0,2020-08-31 14:10:01,,"La otra semana se cumple un año desde que me vine a Natales. Heavi, una vez me dijieron que yo era de esas personas que no podría vivir lejos y aquí estoy po. Claramente sería más fácil sin el covid ctm, pero nos adaptamos siempre a las circunstancias 😁.",es,[],[],fvsherrera_,2,2,0,"{'user_id': None, 'username': None}","['semana', 'cumple', 'año', 'vine', 'natales', 'heavi', 'vez', 'dijieron', 'personas', 'podría', 'vivir', 'lejos', 'aquí', 'po', 'claramente', 'fácil', 'covid', 'ctm', 'adaptamos', 'siempre', 'circunstancias']","['semana', 'cumplir', 'año', 'venir', 'natal', 'heavi', 'vez', 'dijieron', 'persona', 'podría', 'vivir', 'lejos', 'aquí', 'po', 'claramente', 'fácil', 'covir', 'ctm', 'adaptar', 'siempre', 'circunstancias']"
1299091107540799489,1598562430000.0,2020-08-27 17:07:10,,"Últimamente no* me paso por aquí. Las cosas se han complicado muchísimo en mi trabajo por un brote de covid entre trabajadores. Solo duermo y trabajo, pero se que todo valdrá la pena.",es,[],[],ccaattittaa,0,0,0,"{'user_id': None, 'username': None}","['últimamente', 'paso', 'aquí', 'cosas', 'complicado', 'muchísimo', 'trabajo', 'brote', 'covid', 'trabajadores', 'solo', 'duermo', 'trabajo', 'valdrá', 'pena']","['últimamente', 'paso', 'aquí', 'cosa', 'complicado', 'muchísimo', 'trabajo', 'brote', 'covir', 'trabajador', 'solo', 'duermo', 'trabajo', 'valer', 'pena']"
1294688729316163585,1597513165000.0,2020-08-15 13:39:25,,"Lean sobre la situación de Europa y aunque no me gusta comparar, no estamos lejos de retroceder con toda esta irresponsabilidad que estamos tomando frente al sistema de covid.",es,[],[],fvsherrera_,1,0,0,"{'user_id': '68799538', 'username': 'fvsherrera_'}","['lean', 'situación', 'europa', 'aunque', 'gusta', 'comparar', 'lejos', 'retroceder', 'toda', 'irresponsabilidad', 'tomando', 'frente', 'sistema', 'covid']","['leer', 'situación', 'europa', 'aunque', 'gustar', 'comparar', 'lejos', 'retroceder', 'todo', 'irresponsabilidad', 'tomar', 'frente', 'sistema', 'covir']"
1294590260396068870,1597489345000.0,2020-08-15 07:02:25,,"La expansión Salmonera en tiempos de covid ha sido gigantesca, es una industria sin regulación @MattyLL @LandeckH @LeticiaCaro6 @paloma_avila @paomolinave @salmonresearch",es,[],[],AcueOficial,7,0,11,"{'user_id': None, 'username': None}","['expansión', 'salmonera', 'tiempos', 'covid', 'sido', 'gigantesca', 'industria', 'regulación', '_avila']","['expansión', 'salmonera', 'tiempo', 'covir', 'ser', 'gigantesca', 'industria', 'regulación', '_']"
1292129090934386688,1596902556000.0,2020-08-08 12:02:36,,Chile llegó a las 10.011 fallecidos asociados por COVID -19.,es,[],[],ccaattittaa,0,1,0,"{'user_id': None, 'username': None}","['chile', 'llegó', '10', '011', 'fallecidos', 'asociados', 'covid', '19']","['chile', 'llegar', '10', '011', 'fallecido', 'asociado', 'covir', '19']"
1291353141364101120,1596717555000.0,2020-08-06 08:39:15,,"#SonarInformativo @rafa_cavada que el alcalde Radonich no olvide a las pesqueras, donde han reaparecido los casos de covid-19 ...TODOS los casos...no por el comercio o porque uno vaya a ver a un familiar...que diga las cosas como son... #Puq #Magallanes",es,"['sonarinformativo', 'puq', 'magallanes']",[],Orchidyaldix,0,0,1,"{'user_id': None, 'username': None}","['sonarinformativo', '_cavada', 'alcalde', 'radonich', 'olvide', 'pesqueras', 'reaparecido', 'casos', 'covid', '19', 'casos', 'comercio', 'vaya', 'ver', 'familiar', 'diga', 'cosas', 'puq', 'magallanes']","['sonarinformativo', '_', 'alcalde', 'radonich', 'olvidar', 'pesqueras', 'reaparecido', 'caso', 'covir', '19', 'caso', 'comercio', 'ir', 'ver', 'familiar', 'decir', 'cosa', 'puq', 'magallanes']"
1288813688821026816,1596112103000.0,2020-07-30 08:28:23,,"Amanecí pensando en que uno de los objetivos que debo lograr es viajar para septiembre, embriagarme y carretear por que obvio ya no habrá covid.",es,[],[],fvsherrera_,1,2,0,"{'user_id': None, 'username': None}","['amanecí', 'pensando', 'objetivos', 'debo', 'lograr', 'viajar', 'septiembre', 'embriagarme', 'carretear', 'obvio', 'covid']","['amanecí', 'pensando', 'objetivo', 'debo', 'lograr', 'viajar', 'septiembre', 'embriagarme', 'carretear', 'obvio', 'covir']"
1288292505524539392,1595987843000.0,2020-07-28 21:57:23,,"Hoy volvemos a tener esperanza. Luego de un terrible brote, actualmente sólo nos quedan 3 activos de Covid-19. Confío en que la gente de mi ciudad no fallará. Puta que nos merecemos llegar a 0.",es,[],[],ccaattittaa,4,0,0,"{'user_id': None, 'username': None}","['hoy', 'volvemos', 'tener', 'esperanza', 'luego', 'terrible', 'brote', 'actualmente', 'sólo', 'quedan', '3', 'activos', 'covid', '19', 'confío', 'gente', 'ciudad', 'fallará', 'puta', 'merecemos', 'llegar', '0']","['hoy', 'volvemos', 'tener', 'esperanza', 'luego', 'terrible', 'brote', 'actualmente', 'sólo', 'quedan', '3', 'activo', 'covir', '19', 'confiar', 'gente', 'ciudad', 'fallar', 'puta', 'merecer', 'llegar', '0']"
1285909661749850114,1595467436000.0,2020-07-22 21:23:56,,@SENADIS12 @GobiernodeChile No los llega nada de estos bonos de COVID o de emergencia,es,[],[],sonia501960,0,0,0,"{'user_id': '632074185', 'username': 'SENADIS12'}","['llega', 'bonos', 'covid', 'emergencia']","['llega', 'bono', 'covir', 'emergencia']"
1281797782911815681,1594439380000.0,2020-07-10 23:49:40,,Que implica que el país siga con alerta sanitaria hasta feb 2021? Trabajo en hoteleria y quiero saber como nos afectaria a los de mi rubro... #COVID__19 #ayuda #soyignorante #hoteleria #turismo #alertasanitaria,es,"['covid__19', 'ayuda', 'soyignorante', 'hoteleria', 'turismo', 'alertasanitaria']",[],Orchidyaldix,0,0,0,"{'user_id': None, 'username': None}","['implica', 'país', 'siga', 'alerta', 'sanitaria', 'feb', '2021', 'trabajo', 'hoteleria', 'quiero', 'saber', 'afectaria', 'rubro', 'covid__19', 'ayuda', 'soyignorante', 'hoteleria', 'turismo', 'alertasanitaria']","['implicar', 'país', 'seguir', 'alerta', 'sanitaria', 'feb', '2021', 'trabajo', 'hoteleria', 'querer', 'saber', 'afectaria', 'rubro', 'covid__19', 'ayuda', 'soyignorante', 'hoteleria', 'turismo', 'alertasanitaria']"
1278868580789112832,1593779472000.0,2020-07-03 08:31:12,,"@ginniasa @VamosFueguinos @CHVNoticias @UmagSustentable @umagallanes @Sepulinares @GuiasNatales @ScacMagallanes A los salmones no les pasa nada con estas temperaturas, estamos más preocupados por los brotes de covid en plantas procesadoras de salmón y el muelle, lamentablemente el modus operandi de este gobierno es tapar, tapar y no transparentar 😏🤦‍♂️",es,[],[],AcueOficial,1,0,1,"{'user_id': '77748386', 'username': 'oFaIabeIlaAyda'}","['salmones', 'pasa', 'temperaturas', 'preocupados', 'brotes', 'covid', 'plantas', 'procesadoras', 'salmón', 'muelle', 'lamentablemente', 'modus', 'operandi', 'gobierno', 'tapar', 'tapar', 'transparentar']","['salmón', 'pasa', 'temperatura', 'preocupado', 'brote', 'covir', 'planta', 'procesador', 'salmón', 'muelle', 'lamentablemente', 'modus', 'operandi', 'gobierno', 'tapar', 'tapar', 'transparentar']"
1277608363296260097,1593652760000.0,2020-07-01 21:19:20,,"@Pgahonav @DefendamsChiloe @perez_mallea @blumar_seafoods @CarolaSchmidtZ @MmaLagos @MMAChile @PDI_CHILE @GreenpeaceCL @TerramChile @FIMA_Chile @ECOCEANOS @DMatamala @OceanaChile @Juaneduardoconc @LandeckH @TSCobquecura @TodosPescamos @abernales @ElHuemulDiario Sabe usted cuál es el único lugar en Chile donde los niños ya volvieron al colegio porque ya no tienen Covid en la ciudad ? Es un lugar donde no existe ni la industria Salmonera ,ni minera , ni forestal. Donde las personas viven del turismo.",es,[],[],AcueOficial,0,1,0,"{'user_id': '155025352', 'username': 'Pgahonav'}","['_mallea', '_seafoods', '_chile', '_chile', 'sabe', 'usted', 'cuál', 'único', 'lugar', 'chile', 'niños', 'volvieron', 'colegio', 'covid', 'ciudad', 'lugar', 'existe', 'industria', 'salmonera', 'minera', 'forestal', 'personas', 'viven', 'turismo']","['_', '_', '_', '_', 'saber', 'usted', 'cuál', 'único', 'lugar', 'chile', 'niño', 'volver', 'colegio', 'covir', 'ciudad', 'lugar', 'exir', 'industria', 'salmonera', 'minero', 'forestal', 'persona', 'viven', 'turismo']"
