created_at,date,place,tweet,language,hashtags,cashtags,username,nlikes,nreplies,nretweets,reply_to,clean_tweet,lemma_tweet,clean_tag,lemma_tag
1606778508000.0,2020-11-30 20:21:48,,#calama #antofagasta #covid #contagios Calama terminó noviembre con 135 nuevos casos de Covid-19  https://t.co/Y73X4PchJz,es,"['calama', 'antofagasta', 'covid', 'contagios']",[],conelreferente,0,0,0,"{'user_id': None, 'username': None}","['calama', 'antofagasta', 'covid', 'contagios', 'calama', 'terminó', 'noviembre', '135', 'nuevos', 'casos', 'covid', '19']","['calama', 'antofagasta', 'covir', 'contagio', 'calama', 'terminar', 'noviembre', '135', 'nuevo', 'caso', 'covir', '19']","[0, 0, 12]","[0, 2, 12]"
1606777308000.0,2020-11-30 20:01:48,,Estamos contentas en anunciar nuestra nueva Alianza Estratégica “Sanity Servicios”  🔹Limpieza 🔹Desinfección/Sanitización 🔹Implementación y Asesorías de normativas COVID-19  Descuentos para nuestros clientes de VyF Asesoria   🌐 https://t.co/0fEGXto2iP  #Antofagasta #Covid_19,es,"['antofagasta', 'covid_19']",[],VF_Asesorias,0,0,0,"{'user_id': None, 'username': None}","['contentas', 'anunciar', 'nueva', 'alianza', 'estratégica', 'sanity', 'servicios', 'limpieza', 'desinfección', 'sanitización', 'implementación', 'asesorías', 'normativas', 'covid', '19', 'descuentos', 'clientes', 'vyf', 'asesoria', 'antofagasta', 'covid_19']","['contentas', 'anunciar', 'nueva', 'alianza', 'estratégico', 'sanity', 'servicio', 'limpieza', 'desinfección', 'sanitización', 'implementación', 'asesoría', 'normativo', 'covir', '19', 'descuento', 'cliente', 'vyf', 'asesoria', 'antofagasta', 'covid_19']","[2, 0, 21]","[4, 0, 21]"
1606770969000.0,2020-11-30 18:16:09,,"Y aunque no me guste juntarme con personas, por el tema del Covid, igual se debe trabajar 💪🏻✨",es,[],[],MEBDLou,0,0,0,"{'user_id': None, 'username': None}","['aunque', 'guste', 'juntarme', 'personas', 'tema', 'covid', 'igual', 'debe', 'trabajar']","['aunque', 'guste', 'juntarme', 'persona', 'tema', 'covir', 'igual', 'debe', 'trabajar']","[0, 1, 9]","[0, 1, 9]"
1606769113000.0,2020-11-30 17:45:13,,@Paola_Furtado Usé medio kilo de garbanzos argentinos que nos dio la municipalidad como ayuda social por el Covid 19.Jamás pensé que lograría realizar esa hazaña de moler a fuerza de músculo medio kilo de garbanzos remojados (te lo juro por mis sobrinos).,es,[],[],RobertoMolina37,1,0,0,"{'user_id': '143823374', 'username': 'Paola_Furtado'}","['_furtado', 'usé', 'medio', 'kilo', 'garbanzos', 'argentinos', 'dio', 'municipalidad', 'ayuda', 'social', 'covid', '19', 'jamás', 'pensé', 'lograría', 'realizar', 'hazaña', 'moler', 'fuerza', 'músculo', 'medio', 'kilo', 'garbanzos', 'remojados', 'juro', 'sobrinos']","['_', 'usé', 'medio', 'kilo', 'garbanzo', 'argentinos', 'dar', 'municipalidad', 'ayuda', 'social', 'covir', '19', 'jamás', 'pensar', 'lograr', 'realizar', 'hazaña', 'moler', 'fuerza', 'músculo', 'medio', 'kilo', 'garbanzo', 'remojado', 'juro', 'sobrinos']","[3, 0, 26]","[4, 0, 26]"
1606768469000.0,2020-11-30 17:34:29,,"▶️ Parque Brasil, Plaza Colón y Paseo Prat de #Antofagasta son algunos de los sectores recorridos hoy por nuestras cuadrillas sanitarias para para promover ✅ medidas de autocuidado contra #Covid_19 #CuidemonosEntreTodos @GOREAntofagasta  https://t.co/gpcJuSdFDH",es,"['antofagasta', 'covid_19', 'cuidemonosentretodos']",[],SeremiSalud2,6,0,3,"{'user_id': None, 'username': None}","['parque', 'brasil', 'plaza', 'colón', 'paseo', 'prat', 'antofagasta', 'sectores', 'recorridos', 'hoy', 'cuadrillas', 'sanitarias', 'promover', 'medidas', 'autocuidado', 'covid_19', 'cuidemonosentretodos']","['parque', 'brasil', 'plaza', 'colón', 'paseo', 'prat', 'antofagasta', 'sector', 'recorrido', 'hoy', 'cuadrilla', 'sanitarias', 'promover', 'medido', 'autocuidado', 'covid_19', 'cuidemonosentretodos']","[0, 0, 17]","[0, 0, 17]"
1606764633000.0,2020-11-30 16:30:33,,#Calama Cierran sala “covid” para retornar a la normalidad en el hospital Carlos Cisterna -  https://t.co/BpOIFcETIF,es,['calama'],[],calamaenlinea,0,1,0,"{'user_id': None, 'username': None}","['calama', 'cierran', 'sala', 'covid', 'retornar', 'normalidad', 'hospital', 'carlos', 'cisterna']","['calama', 'cierran', 'sala', 'covir', 'retornar', 'normalidad', 'hospital', 'carlos', 'cisterna']","[1, 0, 9]","[1, 0, 9]"
1606762164000.0,2020-11-30 15:49:24,,Situación de contagiados por comuna en la región de #Antofagasta. Reporte de coronavirus Gobierno Regional. ▶️ https://t.co/7X6KFJRFwr  https://t.co/rPbFwEffvk,es,['antofagasta'],[],AntofagastaTV,2,1,8,"{'user_id': None, 'username': None}","['situación', 'contagiados', 'comuna', 'región', 'antofagasta', 'reporte', 'coronavirus', 'gobierno', 'regional']","['situación', 'contagiado', 'comuna', 'región', 'antofagasta', 'reporte', 'coronavirus', 'gobierno', 'regional']","[0, 2, 9]","[0, 2, 9]"
1606761975000.0,2020-11-30 15:46:15,,"📢Reporte COVID-19: En este lunes 30 de noviembre del 2020, se han confirmado 46 casos y un fallecido en la región de #Antofagasta.  #Calama #Mejillones #Tocopilla #Taltal  https://t.co/4Gms804s9N",es,"['antofagasta', 'calama', 'mejillones', 'tocopilla', 'taltal']",[],radiosolchile,0,0,1,"{'user_id': None, 'username': None}","['reporte', 'covid', '19', 'lunes', '30', 'noviembre', '2020', 'confirmado', '46', 'casos', 'fallecido', 'región', 'antofagasta', 'calama', 'mejillones', 'tocopilla', 'taltal']","['reporte', 'covir', '19', 'lunes', '30', 'noviembre', '2020', 'confirmado', '46', 'caso', 'fallecido', 'región', 'antofagasta', 'calama', 'mejillón', 'tocopilla', 'taltal']","[1, 1, 17]","[1, 2, 17]"
1606760473000.0,2020-11-30 15:21:13,,Reporte Covid-19 - región de Antofagasta Calama presenta un total de 4 nuevos casos de coronavirus  https://t.co/38MZKjuN8G,es,[],[],SomosCalama,0,0,0,"{'user_id': None, 'username': None}","['reporte', 'covid', '19', 'región', 'antofagasta', 'calama', 'presenta', 'total', '4', 'nuevos', 'casos', 'coronavirus']","['reporte', 'covir', '19', 'región', 'antofagasta', 'calama', 'presentar', 'total', '4', 'nuevo', 'caso', 'coronavirus']","[0, 0, 12]","[0, 1, 12]"
1606759803000.0,2020-11-30 15:10:03,,Habitantes de ciertas ciudades recibirán el Bono Covid Navidad: Revisa la lista de comunas beneficiadas  https://t.co/G8wPJmKJfr  https://t.co/8UKAMnwOl7,es,[],[],elnortero,0,0,0,"{'user_id': None, 'username': None}","['habitantes', 'ciertas', 'ciudades', 'recibirán', 'bono', 'covid', 'navidad', 'revisa', 'lista', 'comunas', 'beneficiadas']","['habitante', 'cierto', 'ciudad', 'recibir', 'bono', 'covir', 'navidad', 'revisa', 'lista', 'comuna', 'beneficiado']","[1, 0, 11]","[1, 0, 11]"
