created_at,date,place,tweet,language,hashtags,cashtags,username,nlikes,nreplies,nretweets,reply_to,clean_tweet,lemma_tweet,clean_tag,lemma_tag
1606312786000.0,2020-11-25 10:59:46,,REPORTE DIARIO DE COVID-19 EN SAN VICENTE‼️🦠🦠🦠  Más información en  https://t.co/dmbKJr46QO  #COVID19 #ReporteComunal #SaludMunicipalATuServicio #SanVicenteEnPreparación  https://t.co/zrlr1CaF3I,es,"['covid19', 'reportecomunal', 'saludmunicipalatuservicio', 'sanvicenteenpreparación']",[],MunicSanVicente,1,1,0,"{'user_id': None, 'username': None}","['reporte', 'diario', 'covid', '19', 'san', 'vicente', 'información', 'covid19', 'reportecomunal', 'saludmunicipalatuservicio', 'sanvicenteenpreparación']","['reporte', 'diario', 'covir', '19', 'san', 'vicente', 'información', 'covid19', 'reportecomunal', 'saludmunicipalatuservicio', 'sanvicenteenpreparación']","[2, 0, 11]","[2, 0, 11]"
1606309588000.0,2020-11-25 10:06:28,,"Hoy #25Noviembre queremos saludar a los héroes de la pandemia mundial del Covid-19, en su día. Un fuerte abrazo y muchas gracias por su labor en beneficio de nuestras familias y amigos. #aricaactivo #tenschile #paramedicos #COVID19 #arica #graciasgraciasgracias  https://t.co/HdUHobpErW",es,"['25noviembre', 'aricaactivo', 'tenschile', 'paramedicos', 'covid19', 'arica', 'graciasgraciasgracias']",[],ActivoArica,3,0,0,"{'user_id': None, 'username': None}","['hoy', '25noviembre', 'queremos', 'saludar', 'héroes', 'pandemia', 'mundial', 'covid', '19', 'día', 'fuerte', 'abrazo', 'muchas', 'gracias', 'labor', 'beneficio', 'familias', 'amigos', 'aricaactivo', 'tenschile', 'paramedicos', 'covid19', 'arica', 'graciasgraciasgracias']","['hoy', '25noviembre', 'quer', 'saludar', 'héroe', 'pandemia', 'mundial', 'covir', '19', 'día', 'fuerte', 'abrazo', 'mucho', 'gracia', 'labor', 'beneficio', 'familia', 'amigo', 'aricaactivo', 'tenschile', 'paramedicos', 'covid19', 'arica', 'graciasgraciasgracias']","[3, 1, 24]","[7, 1, 24]"
1606308371000.0,2020-11-25 09:46:11,,"#Chile en lugar 38 de 53. Evalúan manejo de COVID en salud, economía y social.",es,['chile'],[],udogoncalves,0,0,0,"{'user_id': None, 'username': None}","['chile', 'lugar', '38', '53', 'evalúan', 'manejo', 'covid', 'salud', 'economía', 'social']","['chile', 'lugar', '38', '53', 'evalúan', 'manejo', 'covir', 'salud', 'economía', 'social']","[0, 0, 10]","[0, 0, 10]"
1606305614000.0,2020-11-25 09:00:14,,🇦🇷 #Argentina: 1.381.795 personas confirmadas con #Covid19. Fallecidos: 37.432. Recuperados: 1.210.634. ►San Juan: 10.442 personas confirmadas con #Coronavirus. Fallecidos: 210. Recuperados: 6613.  #QuedateEnCasa #CuidémonosEntreTodos,es,"['argentina', 'covid19', 'coronavirus', 'quedateencasa', 'cuidémonosentretodos']",[],RBinacional,0,0,0,"{'user_id': '767923891432030208', 'username': 'RBinacional'}","['argentina', '1', '381', '795', 'personas', 'confirmadas', 'covid19', 'fallecidos', '37', '432', 'recuperados', '1', '210', '634', 'san', 'juan', '10', '442', 'personas', 'confirmadas', 'coronavirus', 'fallecidos', '210', 'recuperados', '6613', 'quedateencasa', 'cuidémonosentretodos']","['argentina', '1', '381', '795', 'persona', 'confirmado', 'covid19', 'fallecido', '37', '432', 'recuperado', '1', '210', '634', 'san', 'juan', '10', '442', 'persona', 'confirmado', 'coronavirus', 'fallecido', '210', 'recuperado', '6613', 'quedateencasa', 'cuidémonosentretodos']","[0, 0, 27]","[2, 2, 27]"
1606305614000.0,2020-11-25 09:00:14,,•Datos actualizados al momento:  🇨🇱 #Chile: 543.087 personas confirmadas con #Coronavirus. Fallecidos: 15.131. Recuperados: 518.834. ►Región de Coquimbo: 12.982 personas confirmadas con #Coronavirus. Fallecidos: 264. Recuperados: 12.870.,es,"['chile', 'coronavirus', 'coronavirus']",[],RBinacional,0,1,0,"{'user_id': None, 'username': None}","['datos', 'actualizados', 'momento', 'chile', '543', '087', 'personas', 'confirmadas', 'coronavirus', 'fallecidos', '15', '131', 'recuperados', '518', '834', 'región', 'coquimbo', '12', '982', 'personas', 'confirmadas', 'coronavirus', 'fallecidos', '264', 'recuperados', '12', '870']","['dato', 'actualizado', 'momento', 'chile', '543', '087', 'persona', 'confirmado', 'coronavirus', 'fallecido', '15', '131', 'recuperado', '518', '834', 'región', 'coquimbo', '12', '982', 'persona', 'confirmado', 'coronavirus', 'fallecido', '264', 'recuperado', '12', '870']","[0, 0, 27]","[2, 2, 27]"
1606261507000.0,2020-11-24 20:45:07,,Panel: “El impacto del Covid-19 en la vida de las #mujeresindígenas de Latinoamérica y su estrategia para enfrentar la Pandemia en el marco del XI  Seminario Internacional Pensar de Derechos Humanos  #MujeresIndigenasYBiodiversidad  https://t.co/QoFcDIxoi7,es,"['mujeresindígenas', 'mujeresindigenasybiodiversidad']",[],Hortencia2018,3,0,2,"{'user_id': None, 'username': None}","['panel', 'impacto', 'covid', '19', 'vida', 'mujeresindígenas', 'latinoamérica', 'estrategia', 'enfrentar', 'pandemia', 'marco', 'xi', 'seminario', 'internacional', 'pensar', 'derechos', 'humanos', 'mujeresindigenasybiodiversidad']","['panel', 'impacto', 'covir', '19', 'vida', 'mujeresindígenas', 'latinoamérica', 'estrategia', 'enfrentar', 'pandemia', 'marco', 'xi', 'seminario', 'internacional', 'pensar', 'derecho', 'humano', 'mujeresindigenasybiodiversidad']","[0, 1, 18]","[1, 1, 18]"
1606248535000.0,2020-11-24 17:08:55,,Ya estamos a punto de comenzar el Panel: “El impacto del Covid-19 en la vida de las #mujeresindígenas #MujeresIndigenasYBiodiversidad   https://t.co/0LiOf1EwKl,es,"['mujeresindígenas', 'mujeresindigenasybiodiversidad']",[],Hortencia2018,0,0,0,"{'user_id': None, 'username': None}","['punto', 'comenzar', 'panel', 'impacto', 'covid', '19', 'vida', 'mujeresindígenas', 'mujeresindigenasybiodiversidad']","['punto', 'comenzar', 'panel', 'impacto', 'covir', '19', 'vida', 'mujeresindígenas', 'mujeresindigenasybiodiversidad']","[0, 0, 9]","[0, 0, 9]"
1606245189000.0,2020-11-24 16:13:09,,"Presidente Lic de Puente Alto indica en #CONTIGOENDIRECTOCHV q le dijeron en el retorno q si se contagian de Covid, el seguro estudiantil no cubre gastos. A los padres de Byron le están cobrando todos los gastos x la muerte de su hijo, el niño se electrocutó en clases.",es,['contigoendirectochv'],[],ximee_rodriguez,0,0,0,"{'user_id': None, 'username': None}","['presidente', 'lic', 'puente', 'alto', 'indica', 'contigoendirectochv', 'q', 'dijeron', 'retorno', 'q', 'si', 'contagian', 'covid', 'seguro', 'estudiantil', 'cubre', 'gastos', 'padres', 'byron', 'cobrando', 'gastos', 'x', 'muerte', 'hijo', 'niño', 'electrocutó', 'clases']","['presidente', 'lic', 'puente', 'alto', 'indicar', 'contigoendirectochv', 'q', 'decir', 'retorno', 'q', 'si', 'contagian', 'covir', 'seguro', 'estudiantil', 'cubrir', 'gasto', 'padre', 'byron', 'cobrar', 'gasto', 'x', 'muerte', 'hijo', 'niño', 'electrocutó', 'clase']","[3, 3, 27]","[3, 3, 27]"
1606218204000.0,2020-11-24 08:43:24,,"En #iquique aumentaron los casos de choques 🚘 💥 y volcamiento superaron a los casos de covid , con estos wns , vamos a seguir en cuarentena 🤦🏻‍♂️🦠🇨🇱",es,['iquique'],[],efrainleandro,1,1,0,"{'user_id': None, 'username': None}","['iquique', 'aumentaron', 'casos', 'choques', 'volcamiento', 'superaron', 'casos', 'covid', 'wns', 'vamos', 'seguir', 'cuarentena']","['iquique', 'aumentar', 'caso', 'choque', 'volcamiento', 'superar', 'caso', 'covir', 'wns', 'ir', 'seguir', 'cuarentena']","[0, 0, 12]","[0, 3, 12]"
1606146859000.0,2020-11-23 12:54:19,,"📍Este lunes 23 de noviembre, Seremi Gob. @VictorHugoSM18 entregó el reporte regional de #Covid_19 en representación del intendente @rerpels donde informó el balance de la pandemia para #AricaParinacota  #CuidémonosEntreTodos  https://t.co/czVZlFldNB",es,"['covid_19', 'aricaparinacota', 'cuidémonosentretodos']",[],VoceriaArica,1,0,2,"{'user_id': None, 'username': None}","['lunes', '23', 'noviembre', 'seremi', 'gob', 'entregó', 'reporte', 'regional', 'covid_19', 'representación', 'intendente', 'informó', 'balance', 'pandemia', 'aricaparinacota', 'cuidémonosentretodos']","['lunes', '23', 'noviembre', 'seremi', 'gob', 'entregar', 'reporte', 'regional', 'covid_19', 'representación', 'intendente', 'informar', 'balance', 'pandemia', 'aricaparinacota', 'cuidémonosentretodos']","[0, 1, 16]","[0, 1, 16]"
