conversation_id,created_at,date,place,tweet,language,hashtags,cashtags,username,nlikes,nreplies,nretweets,reply_to,clean_tweet,lemma_tweet
1241873885584338946,1584920781000.0,2020-03-22 20:46:21,,Business Insider: Coronavirus: Italy's ICU patients wear bubble helmets over heads - Business Insider.  https://t.co/EVJAR8Ix7W  via @GoogleNews,en,[],[],sanddotman,0,0,0,"{'user_id': None, 'username': None}","['business', 'insider', 'coronavirus', 'italy', 's', 'icu', 'patients', 'wear', 'bubble', 'helmets', 'over', 'heads', 'business', 'insider', 'via']","['business', 'insider', 'coronavirus', 'italy', 's', 'icu', 'patients', 'wear', 'bubble', 'helmets', 'over', 'heads', 'business', 'insider', 'via']"
1241865477380624386,1584920766000.0,2020-03-22 20:46:06,,"@pitirodriguez @MarcoNicolini Tal vez no, en una de esas nos sirve como catalizador para olvidarnos un poco de toda esta mierda del Covid-19 y de pasada ayudamos",es,[],[],kirkfuenzalida,0,0,0,"{'user_id': '27565268', 'username': 'pitirodriguez'}","['tal', 'vez', 'sirve', 'catalizador', 'olvidarnos', 'toda', 'mierda', 'covid', '19', 'pasada', 'ayudamos']","['tal', 'vez', 'servir', 'catalizador', 'olvidarnos', 'todo', 'mierda', 'covir', '19', 'pasada', 'ayudamos']"
1241818491424051201,1584920762000.0,2020-03-22 20:46:02,,@AmenabarSoledad 🤣🤣🤣🤣🤣🤣🤣 Felicidades a los padres de Covid Bryan!!!😂😂😂,es,[],[],puppyL_V,2,0,0,"{'user_id': '1139643757874372609', 'username': 'AmenabarSoledad'}","['felicidades', 'padres', 'covid', 'bryan']","['felicidad', 'padre', 'covir', 'bryan']"
1241873511326666754,1584920692000.0,2020-03-22 20:44:52,,#Vitacura #COVID2020  #coronavirus #QuedateEnCasa  https://t.co/gGe3SieaDL,und,"['vitacura', 'covid2020', 'coronavirus', 'quedateencasa']",[],arenas_gloria,0,0,0,"{'user_id': None, 'username': None}","['vitacura', 'covid2020', 'coronavirus', 'quedateencasa']","['vitacura', 'covid2020', 'coronavirus', 'quedateencasa']"
1241873184191848455,1584920614000.0,2020-03-22 20:43:34,,#QuedateEnCasaLPQTP #ToqueDeQueda #COVID2019chile #coronavirus #QuedateEnCasa #QuedateEnCasaCTM Recuerden esta imagen  https://t.co/ajl5ZuCtpz,es,"['quedateencasalpqtp', 'toquedequeda', 'covid2019chile', 'coronavirus', 'quedateencasa', 'quedateencasactm']",[],hernanlizana,1,0,1,"{'user_id': None, 'username': None}","['quedateencasalpqtp', 'toquedequeda', 'covid2019chile', 'coronavirus', 'quedateencasa', 'quedateencasactm', 'recuerden', 'imagen']","['quedateencasalpqtp', 'toquedequeda', 'covid2019chile', 'coronavirus', 'quedateencasa', 'quedateencasactm', 'recordar', 'imagen']"
1241872896596770818,1584920546000.0,2020-03-22 20:42:26,"{'type': 'Point', 'coordinates': [-33.66478, -70.93083]}",Y ahora ...el gran show de la solución mas inteligente de todas...toque de queda...sabiendo q el foco de propagación es durante el dia.... #coronavirus #gobiernoculpable #showgobierno…  https://t.co/wftQ0jA4rs,es,"['coronavirus', 'gobiernoculpable', 'showgobierno']",[],lurogo2003,0,0,0,"{'user_id': None, 'username': None}","['ahora', 'gran', 'show', 'solución', 'mas', 'inteligente', 'todas', 'toque', 'queda', 'sabiendo', 'q', 'foco', 'propagación', 'dia', 'coronavirus', 'gobiernoculpable', 'showgobierno']","['ahora', 'gran', 'show', 'solución', 'mas', 'inteligente', 'todo', 'toque', 'quedar', 'saber', 'q', 'foco', 'propagación', 'dia', 'coronavirus', 'gobiernoculpable', 'showgobierno']"
1241872471701233667,1584920444000.0,2020-03-22 20:40:44,"{'type': 'Point', 'coordinates': [-33.45, -70.6667]}","De cuando el covid parecía algo muy lejano... QUÉDATE EN CASA!! . . . #cuarentena #santiagodechile #chile #santiago #chilean #chileno #picoftheday #photooftheday #fotodeldia #QuedateEnCasa en Santiago, Chile  https://t.co/uV1Jh5velJ",es,"['cuarentena', 'santiagodechile', 'chile', 'santiago', 'chilean', 'chileno', 'picoftheday', 'photooftheday', 'fotodeldia', 'quedateencasa']",[],RanriqueZ,0,0,0,"{'user_id': None, 'username': None}","['covid', 'parecía', 'lejano', 'quédate', 'casa', 'cuarentena', 'santiagodechile', 'chile', 'santiago', 'chilean', 'chileno', 'picoftheday', 'photooftheday', 'fotodeldia', 'quedateencasa', 'santiago', 'chile']","['covir', 'parecer', 'lejano', 'quedarse', 'casa', 'cuarentena', 'santiagodechile', 'chile', 'santiago', 'chilean', 'chileno', 'picoftheday', 'photooftheday', 'fotodeldia', 'quedateencasa', 'santiago', 'chile']"
1241872456442351617,1584920441000.0,2020-03-22 20:40:41,"{'type': 'Point', 'coordinates': [-33.51775, -70.65973]}","Ante la pandemia del #coronavirus, les dejamos algunas recomendaciones.   Recuerden que ante cualquier consulta, no duden en llamarnos a los teléfonos +56975698401 y +56965890584  #lacisterna #prevencion…  https://t.co/n4zTbbOnPE",es,"['coronavirus', 'lacisterna', 'prevencion']",[],xtobarv,0,0,0,"{'user_id': None, 'username': None}","['pandemia', 'coronavirus', 'dejamos', 'recomendaciones', 'recuerden', 'cualquier', 'consulta', 'duden', 'llamarnos', 'teléfonos', '56975698401', '56965890584', 'lacisterna', 'prevencion']","['pandemia', 'coronavirus', 'dejar', 'recomendación', 'recordar', 'cualquier', 'consulta', 'duden', 'llamarnos', 'teléfono', '56975698401', '56965890584', 'lacisterna', 'prevencion']"
1241871898323148800,1584920308000.0,2020-03-22 20:38:28,,@LavinJoaquin  donde se harán los test de coronavirus al auto?,es,[],[],Andrea__hl,0,0,0,"{'user_id': '555147259', 'username': 'LavinJoaquin'}","['harán', 'test', 'coronavirus', 'auto']","['har', 'test', 'coronavirus', 'auto']"
1241871766559100929,1584920276000.0,2020-03-22 20:37:56,,"Sí, China y Cuba están asistiendo y donando al resto de los gobiernos americanos y a los europeos en la Pandemia del #coronavirus y no Estados Unidos",es,['coronavirus'],[],carlitosgo_,0,0,0,"{'user_id': None, 'username': None}","['china', 'cuba', 'asistiendo', 'donando', 'resto', 'gobiernos', 'americanos', 'europeos', 'pandemia', 'coronavirus', 'unidos']","['china', 'cuba', 'asistir', 'donar', 'resto', 'gobierno', 'americano', 'europeos', 'pandemia', 'coronavirus', 'unido']"
1241871239309930497,1584920150000.0,2020-03-22 20:35:50,,Valdivia/ Dos hijos de seremi de Transportes de Los Ríos dan positivo a examen de Covid-19;venían desde Inglaterra  https://t.co/nq91ozv8QI,es,[],[],Informa93punto1,3,0,4,"{'user_id': None, 'username': None}","['valdivia', 'dos', 'hijos', 'seremi', 'transportes', 'ríos', 'dan', 'positivo', 'examen', 'covid', '19', 'venían', 'inglaterra']","['valdivia', 'dos', 'hijo', 'seremi', 'transportes', 'ríos', 'dan', 'positivo', 'examen', 'covir', '19', 'venían', 'inglaterra']"
1241805397968723968,1584920047000.0,2020-03-22 20:34:07,,@borisgomez @torrejonfocs Ya existe el bono COVID-19 y es obra de Piraña 🙄,es,[],[],Ignium1989,2,0,0,"{'user_id': '171197464', 'username': 'borisgomez'}","['existe', 'bono', 'covid', '19', 'obra', 'piraña']","['exir', 'bono', 'covir', '19', 'obra', 'piraña']"
1241870511308668928,1584919977000.0,2020-03-22 20:32:57,,#FueraMañalich #covid19chile #coronavirus  https://t.co/Pc5Sf11JRY,und,"['fueramañalich', 'covid19chile', 'coronavirus']",[],Gatho_Silva,0,0,0,"{'user_id': None, 'username': None}","['fueramañalich', 'covid19chile', 'coronavirus']","['fueramañalich', 'covid19chile', 'coronavirus']"
1241869719742840844,1584919788000.0,2020-03-22 20:29:48,,Día 7 fabricamos con mi Kristine un llavero de silicona del covid-19 transformado en buena persona  https://t.co/StE2I4b2YM,es,[],[],marceloHHXC,4,0,1,"{'user_id': None, 'username': None}","['día', '7', 'fabricamos', 'kristine', 'llavero', 'silicona', 'covid', '19', 'transformado', 'buena', 'persona']","['día', '7', 'fabricar', 'kristine', 'llavero', 'silicona', 'covir', '19', 'transformado', 'bueno', 'persona']"
1241869602214338561,1584919760000.0,2020-03-22 20:29:20,,"Le queda una hora y media al #coronavirus para ser malito.  Después de las 22 hrs, se convertirá en buena persona y se lavará las manos para acostarse.",es,['coronavirus'],[],DioClau1994,1,0,0,"{'user_id': None, 'username': None}","['queda', 'hora', 'media', 'coronavirus', 'ser', 'malito', 'después', '22', 'hrs', 'convertirá', 'buena', 'persona', 'lavará', 'manos', 'acostarse']","['quedar', 'hora', 'media', 'coronavirus', 'ser', 'malito', 'después', '22', 'hrs', 'convertir', 'bueno', 'persona', 'lavar', 'mano', 'acostarse']"
1241869359078879239,1584919702000.0,2020-03-22 20:28:22,,Aprovechándose del #covid19chile el @metrodesantiago  subio el pasaje a $920 🤑🤑🤑 pura plata plata plata plata ustedes .  #ToqueDeQueda #QuedateEnCasaCTM #QuedateEnCasaSubnormal #coronavirus,es,"['covid19chile', 'toquedequeda', 'quedateencasactm', 'quedateencasasubnormal', 'coronavirus']",[],Porquemeamocl,2,1,1,"{'user_id': None, 'username': None}","['aprovechándose', 'covid19chile', 'subio', 'pasaje', '920', 'pura', 'plata', 'plata', 'plata', 'plata', 'ustedes', 'toquedequeda', 'quedateencasactm', 'quedateencasasubnormal', 'coronavirus']","['aprovechar', 'covid19chile', 'subio', 'pasaje', '920', 'puro', 'plata', 'plata', 'plata', 'plata', 'ustedes', 'toquedequeda', 'quedateencasactm', 'quedateencasasubnormal', 'coronavirus']"
1241869258671431680,1584919678000.0,2020-03-22 20:27:58,,"En una hora y media, coronavirus sale a cazar! Asi que entren a sus casas y cierren con llave 😬",es,[],[],el_pianista87,1,0,0,"{'user_id': None, 'username': None}","['hora', 'media', 'coronavirus', 'sale', 'cazar', 'asi', 'entren', 'casas', 'cierren', 'llave']","['hora', 'media', 'coronavirus', 'salir', 'cazar', 'asi', 'entrar', 'casa', 'cerrar', 'llave']"
1241868702133485575,1584919546000.0,2020-03-22 20:25:46,,Día 7 🗓  #CuarentenaEnFamlia 👨‍👩‍👧‍👧  #22Mar   ATARDECER 8:25pm 🌅  Santiago de Chile 🇨🇱  #QuedateEnLaCasa 🏠  #CuarentenaPorLaVida 🙃  #Covid_19 🦠  https://t.co/JkyXX5BVaL,es,"['cuarentenaenfamlia', '22mar', 'quedateenlacasa', 'cuarentenaporlavida', 'covid_19']",[],edigrecr,5,0,0,"{'user_id': None, 'username': None}","['día', '7', 'cuarentenaenfamlia', '22mar', 'atardecer', '8', '25pm', 'santiago', 'chile', 'quedateenlacasa', 'cuarentenaporlavida', 'covid_19']","['día', '7', 'cuarentenaenfamlia', '22mar', 'atardecer', '8', '25pm', 'santiago', 'chile', 'quedateenlacasa', 'cuarentenaporlavida', 'covid_19']"
1241868667706585089,1584919537000.0,2020-03-22 20:25:37,,Va a llegar el día en que veamos la película del coronavirus comiendo cabritas en el cine sin lavarnos las manos y nos vamos a reir.,es,[],[],KarmenMargot,1,0,0,"{'user_id': None, 'username': None}","['va', 'llegar', 'día', 'veamos', 'película', 'coronavirus', 'comiendo', 'cabritas', 'cine', 'lavarnos', 'manos', 'vamos', 'reir']","['ir', 'llegar', 'día', 'ver', 'película', 'coronavirus', 'comer', 'cabritas', 'cine', 'lavarnos', 'mano', 'ir', 'reir']"
1241867893958156295,1584919353000.0,2020-03-22 20:22:33,,Coronavirus a las 05:01 #CoronaVirusEnChile #ToqueDeQueda  https://t.co/5fcJkCFtnU,es,"['coronavirusenchile', 'toquedequeda']",[],mquezada27,4,0,0,"{'user_id': None, 'username': None}","['coronavirus', '05', '01', 'coronavirusenchile', 'toquedequeda']","['coronavirus', '05', '01', 'coronavirusenchile', 'toquedequeda']"
1241867852581396485,1584919343000.0,2020-03-22 20:22:23,,"#coronavirus Limpio, directo, sencillo, claro, a prueba de idiotas 👏🏻👇🏻",es,['coronavirus'],[],Vettelismo,0,0,0,"{'user_id': None, 'username': None}","['coronavirus', 'limpio', 'directo', 'sencillo', 'claro', 'prueba', 'idiotas']","['coronavirus', 'limpio', 'directo', 'sencillo', 'claro', 'prueba', 'idiota']"
1241867845702647810,1584919341000.0,2020-03-22 20:22:21,,El COVID-19 pone a prueba a los populistas latinoamericanos  https://t.co/D6Lmsyshth,es,[],[],manuel_alarcon,0,0,0,"{'user_id': None, 'username': None}","['covid', '19', 'pone', 'prueba', 'populistas', 'latinoamericanos']","['covir', '19', 'poner', 'prueba', 'populistas', 'latinoamericanos']"
1241867505532010498,1584919260000.0,2020-03-22 20:21:00,,El documental de Coronavirus en @DIRECTVChile es una brutalidad. Impresionante la complejidad de esta situación y el olfato de los realizadores para entender que era un momento histórico y grabar.,es,[],[],zerializer,0,0,0,"{'user_id': None, 'username': None}","['documental', 'coronavirus', 'brutalidad', 'impresionante', 'complejidad', 'situación', 'olfato', 'realizadores', 'entender', 'momento', 'histórico', 'grabar']","['documental', 'coronavirus', 'brutalidad', 'impresionante', 'complejidad', 'situación', 'olfato', 'realizadores', 'entender', 'momento', 'histórico', 'grabar']"
1241865580447064064,1584918801000.0,2020-03-22 20:13:21,"{'type': 'Point', 'coordinates': [-33.43145861, -70.6360858]}","El bullicioso #barriobellavista Domingo, mediodía. Salí, solo por emergencia #cuarentena #cuarentenacoronavirus #coronavirus #covid_19 #covıd19 #quedateencasa en Bellavista  https://t.co/eAlfZLbJig",es,"['barriobellavista', 'cuarentena', 'cuarentenacoronavirus', 'coronavirus', 'covid_19', 'covıd19', 'quedateencasa']",[],jmrscd,0,0,0,"{'user_id': None, 'username': None}","['bullicioso', 'barriobellavista', 'domingo', 'mediodía', 'salí', 'solo', 'emergencia', 'cuarentena', 'cuarentenacoronavirus', 'coronavirus', 'covid_19', 'covıd19', 'quedateencasa', 'bellavista']","['bullicioso', 'barriobellavista', 'domingo', 'mediodía', 'salir', 'solo', 'emergencia', 'cuarentena', 'cuarentenacoronavirus', 'coronavirus', 'covid_19', 'covıd19', 'quedateencasa', 'bellavista']"
1241865041797885953,1584918673000.0,2020-03-22 20:11:13,,😐 #COVID2019chile #coronavirus #ToqueDeQueda #QuedateEnCasaSubnormal  https://t.co/XQh7TxfKuh,und,"['covid2019chile', 'coronavirus', 'toquedequeda', 'quedateencasasubnormal']",[],alexandrafrees,0,0,0,"{'user_id': None, 'username': None}","['covid2019chile', 'coronavirus', 'toquedequeda', 'quedateencasasubnormal']","['covid2019chile', 'coronavirus', 'toquedequeda', 'quedateencasasubnormal']"
1241864874562654209,1584918633000.0,2020-03-22 20:10:33,"{'type': 'Point', 'coordinates': [-32.74951, -70.72532]}","Buen Vecino 🇧🇷🇧🇷🇧🇷 🦇🚧💥🚦🙄😁🤕😃😂🚷👻🚼🚻🚹🚺 #COVID-19 #vecinoscontentos #vecinocagon #2020 #viruschino #virusmortal #quedateencasa #acuartelate en San Felipe, Chile  https://t.co/2RMgpzwvne",es,"['covid', 'vecinoscontentos', 'vecinocagon', 'viruschino', 'virusmortal', 'quedateencasa', 'acuartelate']",[],NelsonLeiva_CL,1,0,0,"{'user_id': None, 'username': None}","['buen', 'vecino', 'covid', '19', 'vecinoscontentos', 'vecinocagon', '2020', 'viruschino', 'virusmortal', 'quedateencasa', 'acuartelate', 'san', 'felipe', 'chile']","['buen', 'vecino', 'covir', '19', 'vecinoscontentos', 'vecinocagon', '2020', 'viruschino', 'virusmortal', 'quedateencasa', 'acuartelate', 'san', 'felipe', 'chile']"
1241864668630724609,1584918584000.0,2020-03-22 20:09:44,,Estoy esperando algún zurdo que comente alguna wea de este gráfico #coronavirus #QuedateEnCasaSubnormal #ToqueDeQueda #COVID2019chile  https://t.co/xqt3CkGHKS,es,"['coronavirus', 'quedateencasasubnormal', 'toquedequeda', 'covid2019chile']",[],elfachocola,0,0,0,"{'user_id': None, 'username': None}","['esperando', 'algún', 'zurdo', 'comente', 'alguna', 'wea', 'gráfico', 'coronavirus', 'quedateencasasubnormal', 'toquedequeda', 'covid2019chile']","['esperar', 'algún', 'zurdo', 'comente', 'algún', 'wea', 'gráfico', 'coronavirus', 'quedateencasasubnormal', 'toquedequeda', 'covid2019chile']"
1241587374737567746,1584918450000.0,2020-03-22 20:07:30,,"@simplespectador @Libertaria20201 @PepaHoffmann @izkia En vez de andar viendo comunistas en todos lados, exigele a tu autoridad de salud y a tu Presidente que decreten cuarentena obligatoria , ya que el COVID-19 es inmune a los toques de queda nocturnos 🙄",es,[],[],Ignium1989,1,0,0,"{'user_id': '263447648', 'username': 'simplespectador'}","['vez', 'andar', 'viendo', 'comunistas', 'lados', 'exigele', 'autoridad', 'salud', 'presidente', 'decreten', 'cuarentena', 'obligatoria', 'covid', '19', 'inmune', 'toques', 'queda', 'nocturnos']","['vez', 'andar', 'ver', 'comunista', 'lados', 'exigele', 'autoridad', 'salud', 'presidente', 'decreten', 'cuarentena', 'obligatorio', 'covir', '19', 'inmune', 'toque', 'quedar', 'nocturno']"
1241749222703140864,1584918329000.0,2020-03-22 20:05:29,,@jtgazmuri Colombia 🇨🇴; tiene 3 veces la población de Chile 🇨🇱 y tiene menos de 300 casos de #Covid_19,es,['covid_19'],[],bybleanstartup,0,1,0,"{'user_id': '404538638', 'username': 'jtgazmuri'}","['colombia', '3', 'veces', 'población', 'chile', 'menos', '300', 'casos', 'covid_19']","['colombia', '3', 'vez', 'población', 'chile', 'menos', '300', 'caso', 'covid_19']"
1241863287584718853,1584918255000.0,2020-03-22 20:04:15,,@IvanDuque #CerrejonUstedDebeParar #LosObrerosTenemosFamilia #CerrejonNoCumple #LaVidaNoTienePrecioCerrejon @MintrabajoCol @MinSaludCol @CerrejonCol En plena pandemia y esta empresa no se le ocurre otra cosa mas que seguir produciendo por encima de la salud.  #Covid_19  https://t.co/E1dnYiH76H,es,"['cerrejonusteddebeparar', 'losobrerostenemosfamilia', 'cerrejonnocumple', 'lavidanotienepreciocerrejon', 'covid_19']",[],tinjo9,3,1,4,"{'user_id': '77653794', 'username': 'IvanDuque'}","['cerrejonusteddebeparar', 'losobrerostenemosfamilia', 'cerrejonnocumple', 'lavidanotienepreciocerrejon', 'plena', 'pandemia', 'empresa', 'ocurre', 'cosa', 'mas', 'seguir', 'produciendo', 'encima', 'salud', 'covid_19']","['cerrejonusteddebeparar', 'losobrerostenemosfamilia', 'cerrejonnocumple', 'lavidanotienepreciocerrejon', 'pleno', 'pandemia', 'empresa', 'ocurrir', 'cosa', 'mas', 'seguir', 'producir', 'encima', 'salud', 'covid_19']"
1241863213806948352,1584918237000.0,2020-03-22 20:03:57,,Casamiento en tiempo de coronavirus 😎,es,[],[],alicevento,1,0,0,"{'user_id': None, 'username': None}","['casamiento', 'tiempo', 'coronavirus']","['casamiento', 'tiempo', 'coronavirus']"
1241862751049461768,1584918127000.0,2020-03-22 20:02:07,,Se querellan contra sospechoso de Covid-19: habría golpeado a médico y tosido a la cara de enfermera  https://t.co/sEVnd5Endr vía @biobio,es,[],[],Cesariomora82,0,0,0,"{'user_id': None, 'username': None}","['querellan', 'sospechoso', 'covid', '19', 'golpeado', 'médico', 'tosido', 'cara', 'enfermera', 'vía']","['querellan', 'sospechoso', 'covir', '19', 'golpeado', 'médico', 'tosido', 'cara', 'enfermero', 'vía']"
